Path,Top,Top2,Kind,Bytes
uxm dosyalari/uxm dosyalar/UXM_V33_STAGE13_sparse_vector.diff,uxm dosyalari,uxm dosyalari/uxm dosyalar,package_or_diff,60891
uxm dosyalari/uxm dosyalar/UXM_V33_STAGE6_string_v2_patch.diff,uxm dosyalari,uxm dosyalari/uxm dosyalar,package_or_diff,128580
uxm dosyalari/uxm dosyalar/UXM_V33_STAGE7_bio_v1_patch (1).diff,uxm dosyalari,uxm dosyalari/uxm dosyalar,package_or_diff,39849
uxm dosyalari/uxm dosyalar/UXM_V33_STAGE7_bio_v1_patch.diff,uxm dosyalari,uxm dosyalari/uxm dosyalar,package_or_diff,39849
uxm dosyalari/uxm dosyalar/UXM_V33_STAGE8_statistics_v1_patch.diff,uxm dosyalari,uxm dosyalari/uxm dosyalar,package_or_diff,232692
uxm dosyalari/uxm dosyalar/UXM_V33_STAGE9_prob_numeric_complex_patch.diff,uxm dosyalari,uxm dosyalari/uxm dosyalar,package_or_diff,54623
uxm dosyalari/uxm onceki belgeler/CHANGELOG_v3.md,uxm dosyalari,uxm dosyalari/uxm onceki belgeler,doc_or_log,8163
uxm dosyalari/uxm onceki belgeler/commands.json,uxm dosyalari,uxm dosyalari/uxm onceki belgeler,other,9953
uxm dosyalari/uxm onceki belgeler/meta_services.json,uxm dosyalari,uxm dosyalari/uxm onceki belgeler,other,109490
uxm dosyalari/uxm onceki belgeler/uXBasic_derin_mimari_ve_kurtarma_raporu.md,uxm dosyalari,uxm dosyalari/uxm onceki belgeler,doc_or_log,34331
uxm dosyalari/uxm onceki belgeler/UXM_Copilot_Siki_Turkce_Talimat.md,uxm dosyalari,uxm dosyalari/uxm onceki belgeler,doc_or_log,963
uxm dosyalari/uxm onceki belgeler/UXM_Kullanici_Klavuzu (1).md,uxm dosyalari,uxm dosyalari/uxm onceki belgeler,doc_or_log,29021
uxm dosyalari/uxm onceki belgeler/UXM_Kullanici_Klavuzu.md,uxm dosyalari,uxm dosyalari/uxm onceki belgeler,doc_or_log,29021
uxm dosyalari/uxm onceki belgeler/UXM_Performans_Analiz_Raporu.xlsx,uxm dosyalari,uxm dosyalari/uxm onceki belgeler,xlsx,7023
uxm dosyalari/uxm onceki belgeler/UXM_SERVICE_ADDRESSING_REFACTOR_REPORT.md,uxm dosyalari,uxm dosyalari/uxm onceki belgeler,doc_or_log,17725
uxm dosyalari/uxm onceki belgeler/UXM_V31_Guncellenmis_Plan_ve_Manifest.md,uxm dosyalari,uxm dosyalari/uxm onceki belgeler,doc_or_log,4277
uxm dosyalari/uxm onceki belgeler/UXM_V31_Guncel_Kod_Gercekligi_Matrisleri.xlsx,uxm dosyalari,uxm dosyalari/uxm onceki belgeler,xlsx,41591
uxm dosyalari/uxm onceki belgeler/UX_STR_V1_Temel_Kod_Belgesi.md,uxm dosyalari,uxm dosyalari/uxm onceki belgeler,doc_or_log,24532
uxm dosyalari/uxm onceki belgeler/UX_STR_V2_Genisletilmis_Kod_Belgesi.md,uxm dosyalari,uxm dosyalari/uxm onceki belgeler,doc_or_log,43389
uxm dosyalari/uxm onceki belgeler/VSCODE_UXM_INTEGRATION_PLAN.md,uxm dosyalari,uxm dosyalari/uxm onceki belgeler,doc_or_log,617
uxm dosyalari/uxm stage klasor/UXM_V33_STAGE13_PATCH/config/uxm/meta_services.json,uxm dosyalari,uxm dosyalari/uxm stage klasor,other,128656
uxm dosyalari/uxm stage klasor/UXM_V33_STAGE13_PATCH/config/uxm/service_registry_merged.csv,uxm dosyalari,uxm dosyalari/uxm stage klasor,csv,61208
uxm dosyalari/uxm stage klasor/UXM_V33_STAGE13_PATCH/docs/v33/V33_STAGE13_SPARSE_VECTOR.md,uxm dosyalari,uxm dosyalari/uxm stage klasor,doc_or_log,1670
uxm dosyalari/uxm stage klasor/UXM_V33_STAGE13_PATCH/README_STAGE13_PATCH.md,uxm dosyalari,uxm dosyalari/uxm stage klasor,doc_or_log,575
uxm dosyalari/uxm stage klasor/UXM_V33_STAGE13_PATCH/run_stage13_smoke.bat,uxm dosyalari,uxm dosyalari/uxm stage klasor,bat_tool,1765
uxm dosyalari/uxm stage klasor/UXM_V33_STAGE13_PATCH/uxm/core/compiler/native/native_main.bas,uxm dosyalari,uxm dosyalari/uxm stage klasor,freebasic_source,1109
uxm dosyalari/uxm stage klasor/UXM_V33_STAGE13_PATCH/uxm/core/compiler/native/uxm31_compiler_fb.bas,uxm dosyalari,uxm dosyalari/uxm stage klasor,freebasic_source,8794
uxm dosyalari/uxm stage klasor/UXM_V33_STAGE13_PATCH/uxm/core/runtime/runtime_meta_dispatch.bas,uxm dosyalari,uxm dosyalari/uxm stage klasor,freebasic_source,15371
uxm dosyalari/uxm stage klasor/UXM_V33_STAGE13_PATCH/uxm/core/runtime/services/runtime_sparse_vector_services.bas,uxm dosyalari,uxm dosyalari/uxm stage klasor,freebasic_source,17330
uxm dosyalari/uxm stage klasor/UXM_V33_STAGE13_PATCH/uxm/core/runtime/uxm31_runtime_fb_full.bas,uxm dosyalari,uxm dosyalari/uxm stage klasor,freebasic_source,8203
uxm dosyalari/uxm stage klasor/UXM_V33_STAGE13_PATCH/uxm/tests/v33/stage13/test_s13_integration_sparse_matvec_dot.expect,uxm dosyalari,uxm dosyalari/uxm stage klasor,other,3
uxm dosyalari/uxm stage klasor/UXM_V33_STAGE13_PATCH/uxm/tests/v33/stage13/test_s13_integration_sparse_matvec_dot.uxm,uxm dosyalari,uxm dosyalari/uxm stage klasor,uxm_test_or_source,519
uxm dosyalari/uxm stage klasor/UXM_V33_STAGE13_PATCH/uxm/tests/v33/stage13/test_s13_integration_vector_data_pipeline.expect,uxm dosyalari,uxm dosyalari/uxm stage klasor,other,3
uxm dosyalari/uxm stage klasor/UXM_V33_STAGE13_PATCH/uxm/tests/v33/stage13/test_s13_integration_vector_data_pipeline.uxm,uxm dosyalari,uxm dosyalari/uxm stage klasor,uxm_test_or_source,275
uxm dosyalari/uxm stage klasor/UXM_V33_STAGE13_PATCH/uxm/tests/v33/stage13/test_s13_sparse_get_entry_value.expect,uxm dosyalari,uxm dosyalari/uxm stage klasor,other,3
uxm dosyalari/uxm stage klasor/UXM_V33_STAGE13_PATCH/uxm/tests/v33/stage13/test_s13_sparse_get_entry_value.uxm,uxm dosyalari,uxm dosyalari/uxm stage klasor,uxm_test_or_source,209
uxm dosyalari/uxm stage klasor/UXM_V33_STAGE13_PATCH/uxm/tests/v33/stage13/test_s13_sparse_info.expect,uxm dosyalari,uxm dosyalari/uxm stage klasor,other,7
uxm dosyalari/uxm stage klasor/UXM_V33_STAGE13_PATCH/uxm/tests/v33/stage13/test_s13_sparse_info.uxm,uxm dosyalari,uxm dosyalari/uxm stage klasor,uxm_test_or_source,91
uxm dosyalari/uxm stage klasor/UXM_V33_STAGE13_PATCH/uxm/tests/v33/stage13/test_s13_sparse_init.expect,uxm dosyalari,uxm dosyalari/uxm stage klasor,other,8
uxm dosyalari/uxm stage klasor/UXM_V33_STAGE13_PATCH/uxm/tests/v33/stage13/test_s13_sparse_init.uxm,uxm dosyalari,uxm dosyalari/uxm stage klasor,uxm_test_or_source,161
uxm dosyalari/uxm stage klasor/UXM_V33_STAGE13_PATCH/uxm/tests/v33/stage13/test_s13_sparse_matvec.expect,uxm dosyalari,uxm dosyalari/uxm stage klasor,other,3
uxm dosyalari/uxm stage klasor/UXM_V33_STAGE13_PATCH/uxm/tests/v33/stage13/test_s13_sparse_matvec.uxm,uxm dosyalari,uxm dosyalari/uxm stage klasor,uxm_test_or_source,402
uxm dosyalari/uxm stage klasor/UXM_V33_STAGE13_PATCH/uxm/tests/v33/stage13/test_s13_sparse_nnz.expect,uxm dosyalari,uxm dosyalari/uxm stage klasor,other,2
uxm dosyalari/uxm stage klasor/UXM_V33_STAGE13_PATCH/uxm/tests/v33/stage13/test_s13_sparse_nnz.uxm,uxm dosyalari,uxm dosyalari/uxm stage klasor,uxm_test_or_source,254
uxm dosyalari/uxm stage klasor/UXM_V33_STAGE13_PATCH/uxm/tests/v33/stage13/test_s13_sparse_set_entry.expect,uxm dosyalari,uxm dosyalari/uxm stage klasor,other,2
uxm dosyalari/uxm stage klasor/UXM_V33_STAGE13_PATCH/uxm/tests/v33/stage13/test_s13_sparse_set_entry.uxm,uxm dosyalari,uxm dosyalari/uxm stage klasor,uxm_test_or_source,208
uxm dosyalari/uxm stage klasor/UXM_V33_STAGE13_PATCH/uxm/tests/v33/stage13/test_s13_sparse_set_nnz.expect,uxm dosyalari,uxm dosyalari/uxm stage klasor,other,2
uxm dosyalari/uxm stage klasor/UXM_V33_STAGE13_PATCH/uxm/tests/v33/stage13/test_s13_sparse_set_nnz.uxm,uxm dosyalari,uxm dosyalari/uxm stage klasor,uxm_test_or_source,170
uxm dosyalari/uxm stage klasor/UXM_V33_STAGE13_PATCH/uxm/tests/v33/stage13/test_s13_sparse_sum_values.expect,uxm dosyalari,uxm dosyalari/uxm stage klasor,other,2
uxm dosyalari/uxm stage klasor/UXM_V33_STAGE13_PATCH/uxm/tests/v33/stage13/test_s13_sparse_sum_values.uxm,uxm dosyalari,uxm dosyalari/uxm stage klasor,uxm_test_or_source,254
uxm dosyalari/uxm stage klasor/UXM_V33_STAGE13_PATCH/uxm/tests/v33/stage13/test_s13_sparse_to_dense.expect,uxm dosyalari,uxm dosyalari/uxm stage klasor,other,2
uxm dosyalari/uxm stage klasor/UXM_V33_STAGE13_PATCH/uxm/tests/v33/stage13/test_s13_sparse_to_dense.uxm,uxm dosyalari,uxm dosyalari/uxm stage klasor,uxm_test_or_source,305
uxm dosyalari/uxm stage klasor/UXM_V33_STAGE13_PATCH/uxm/tests/v33/stage13/test_s13_sparse_trace.expect,uxm dosyalari,uxm dosyalari/uxm stage klasor,other,2
uxm dosyalari/uxm stage klasor/UXM_V33_STAGE13_PATCH/uxm/tests/v33/stage13/test_s13_sparse_trace.uxm,uxm dosyalari,uxm dosyalari/uxm stage klasor,uxm_test_or_source,311
uxm dosyalari/uxm stage klasor/UXM_V33_STAGE13_PATCH/uxm/tests/v33/stage13/test_s13_vec_add.expect,uxm dosyalari,uxm dosyalari/uxm stage klasor,other,3
uxm dosyalari/uxm stage klasor/UXM_V33_STAGE13_PATCH/uxm/tests/v33/stage13/test_s13_vec_add.uxm,uxm dosyalari,uxm dosyalari/uxm stage klasor,uxm_test_or_source,422
uxm dosyalari/uxm stage klasor/UXM_V33_STAGE13_PATCH/uxm/tests/v33/stage13/test_s13_vec_dot.expect,uxm dosyalari,uxm dosyalari/uxm stage klasor,other,3
uxm dosyalari/uxm stage klasor/UXM_V33_STAGE13_PATCH/uxm/tests/v33/stage13/test_s13_vec_dot.uxm,uxm dosyalari,uxm dosyalari/uxm stage klasor,uxm_test_or_source,391
uxm dosyalari/uxm stage klasor/UXM_V33_STAGE13_PATCH/uxm/tests/v33/stage13/test_s13_vec_fill.expect,uxm dosyalari,uxm dosyalari/uxm stage klasor,other,3
uxm dosyalari/uxm stage klasor/UXM_V33_STAGE13_PATCH/uxm/tests/v33/stage13/test_s13_vec_fill.uxm,uxm dosyalari,uxm dosyalari/uxm stage klasor,uxm_test_or_source,150
uxm dosyalari/uxm stage klasor/UXM_V33_STAGE13_PATCH/uxm/tests/v33/stage13/test_s13_vec_from_data.expect,uxm dosyalari,uxm dosyalari/uxm stage klasor,other,3
uxm dosyalari/uxm stage klasor/UXM_V33_STAGE13_PATCH/uxm/tests/v33/stage13/test_s13_vec_from_data.uxm,uxm dosyalari,uxm dosyalari/uxm stage klasor,uxm_test_or_source,208
uxm dosyalari/uxm stage klasor/UXM_V33_STAGE13_PATCH/uxm/tests/v33/stage13/test_s13_vec_get.expect,uxm dosyalari,uxm dosyalari/uxm stage klasor,other,2
uxm dosyalari/uxm stage klasor/UXM_V33_STAGE13_PATCH/uxm/tests/v33/stage13/test_s13_vec_get.uxm,uxm dosyalari,uxm dosyalari/uxm stage klasor,uxm_test_or_source,170
uxm dosyalari/uxm stage klasor/UXM_V33_STAGE13_PATCH/uxm/tests/v33/stage13/test_s13_vec_info.expect,uxm dosyalari,uxm dosyalari/uxm stage klasor,other,7
uxm dosyalari/uxm stage klasor/UXM_V33_STAGE13_PATCH/uxm/tests/v33/stage13/test_s13_vec_info.uxm,uxm dosyalari,uxm dosyalari/uxm stage klasor,uxm_test_or_source,91
uxm dosyalari/uxm stage klasor/UXM_V33_STAGE13_PATCH/uxm/tests/v33/stage13/test_s13_vec_init.expect,uxm dosyalari,uxm dosyalari/uxm stage klasor,other,8
uxm dosyalari/uxm stage klasor/UXM_V33_STAGE13_PATCH/uxm/tests/v33/stage13/test_s13_vec_init.uxm,uxm dosyalari,uxm dosyalari/uxm stage klasor,uxm_test_or_source,141
uxm dosyalari/uxm stage klasor/UXM_V33_STAGE13_PATCH/uxm/tests/v33/stage13/test_s13_vec_norm1.expect,uxm dosyalari,uxm dosyalari/uxm stage klasor,other,3
uxm dosyalari/uxm stage klasor/UXM_V33_STAGE13_PATCH/uxm/tests/v33/stage13/test_s13_vec_norm1.uxm,uxm dosyalari,uxm dosyalari/uxm stage klasor,uxm_test_or_source,237
uxm dosyalari/uxm stage klasor/UXM_V33_STAGE13_PATCH/uxm/tests/v33/stage13/test_s13_vec_norm2sq.expect,uxm dosyalari,uxm dosyalari/uxm stage klasor,other,4
uxm dosyalari/uxm stage klasor/UXM_V33_STAGE13_PATCH/uxm/tests/v33/stage13/test_s13_vec_norm2sq.uxm,uxm dosyalari,uxm dosyalari/uxm stage klasor,uxm_test_or_source,237
uxm dosyalari/uxm stage klasor/UXM_V33_STAGE13_PATCH/uxm/tests/v33/stage13/test_s13_vec_scale.expect,uxm dosyalari,uxm dosyalari/uxm stage klasor,other,3
uxm dosyalari/uxm stage klasor/UXM_V33_STAGE13_PATCH/uxm/tests/v33/stage13/test_s13_vec_scale.uxm,uxm dosyalari,uxm dosyalari/uxm stage klasor,uxm_test_or_source,277
uxm dosyalari/uxm stage klasor/UXM_V33_STAGE13_PATCH/uxm/tests/v33/stage13/test_s13_vec_set.expect,uxm dosyalari,uxm dosyalari/uxm stage klasor,other,2
uxm dosyalari/uxm stage klasor/UXM_V33_STAGE13_PATCH/uxm/tests/v33/stage13/test_s13_vec_set.uxm,uxm dosyalari,uxm dosyalari/uxm stage klasor,uxm_test_or_source,170
uxm dosyalari/uxm stage klasor/UXM_V33_STAGE13_PATCH/uxm/tests/v33/stage13/test_s13_vec_sum.expect,uxm dosyalari,uxm dosyalari/uxm stage klasor,other,3
uxm dosyalari/uxm stage klasor/UXM_V33_STAGE13_PATCH/uxm/tests/v33/stage13/test_s13_vec_sum.uxm,uxm dosyalari,uxm dosyalari/uxm stage klasor,uxm_test_or_source,236
uxm dosyalari/uxm stage klasor/UXM_V33_STAGE13_PATCH/uxm/tests/v33/stage13/test_s13_vec_to_data.expect,uxm dosyalari,uxm dosyalari/uxm stage klasor,other,2
uxm dosyalari/uxm stage klasor/UXM_V33_STAGE13_PATCH/uxm/tests/v33/stage13/test_s13_vec_to_data.uxm,uxm dosyalari,uxm dosyalari/uxm stage klasor,uxm_test_or_source,262
uxm dosyalari/uxm stage zip/UXM_V33_STAGE13_sparse_vector.diff,uxm dosyalari,uxm dosyalari/uxm stage zip,package_or_diff,60891
uxm dosyalari/uxm_stage12_full_pipeline_pack/uxm_stage12_full_pipeline_pack/asm_optimizer_rules_v2.json,uxm dosyalari,uxm dosyalari/uxm_stage12_full_pipeline_pack,other,8914
uxm dosyalari/uxm_stage12_full_pipeline_pack/uxm_stage12_full_pipeline_pack/expected_outputs_stage12.csv,uxm dosyalari,uxm dosyalari/uxm_stage12_full_pipeline_pack,csv,695
uxm dosyalari/uxm_stage12_full_pipeline_pack/uxm_stage12_full_pipeline_pack/README_STAGE12_PIPELINE.txt,uxm dosyalari,uxm dosyalari/uxm_stage12_full_pipeline_pack,doc_or_log,723
uxm dosyalari/uxm_stage12_full_pipeline_pack/uxm_stage12_full_pipeline_pack/run_asm_optimizer_v2.bat,uxm dosyalari,uxm dosyalari/uxm_stage12_full_pipeline_pack,bat_tool,470
uxm dosyalari/uxm_stage12_full_pipeline_pack/uxm_stage12_full_pipeline_pack/run_stage12_full_pipeline.bat,uxm dosyalari,uxm dosyalari/uxm_stage12_full_pipeline_pack,bat_tool,323
uxm dosyalari/uxm_stage12_full_pipeline_pack/uxm_stage12_full_pipeline_pack/run_stage12_smoke.bat,uxm dosyalari,uxm dosyalari/uxm_stage12_full_pipeline_pack,bat_tool,1763
uxm dosyalari/uxm_stage12_full_pipeline_pack/uxm_stage12_full_pipeline_pack/run_stage_auto_full_pipeline.bat,uxm dosyalari,uxm dosyalari/uxm_stage12_full_pipeline_pack,bat_tool,232
uxm dosyalari/uxm_stage12_full_pipeline_pack/uxm_stage12_full_pipeline_pack/run_toparlayici_apply.bat,uxm dosyalari,uxm dosyalari/uxm_stage12_full_pipeline_pack,bat_tool,179
uxm dosyalari/uxm_stage12_full_pipeline_pack/uxm_stage12_full_pipeline_pack/run_toparlayici_dryrun.bat,uxm dosyalari,uxm dosyalari/uxm_stage12_full_pipeline_pack,bat_tool,171
uxm dosyalari/uxm_stage12_full_pipeline_pack/uxm_stage12_full_pipeline_pack/UXM_ASM_OPTIMIZER_V2.py,uxm dosyalari,uxm dosyalari/uxm_stage12_full_pipeline_pack,python_tool,13586
uxm dosyalari/uxm_stage12_full_pipeline_pack/uxm_stage12_full_pipeline_pack/UXM_REPO_TOPARLAYICI.py,uxm dosyalari,uxm dosyalari/uxm_stage12_full_pipeline_pack,python_tool,8336
uxm dosyalari/uxm_stage12_full_pipeline_pack/uxm_stage12_full_pipeline_pack/UXM_STAGE12_DOSYA_INCELEME_VE_PIPELINE_RAPORU.md,uxm dosyalari,uxm dosyalari/uxm_stage12_full_pipeline_pack,doc_or_log,8780
uxm dosyalari/uxm_stage12_full_pipeline_pack/uxm_stage12_full_pipeline_pack/UXM_STAGE_ORCHESTRATOR_V2.py,uxm dosyalari,uxm dosyalari/uxm_stage12_full_pipeline_pack,python_tool,29007
uxm dosyalari/uxm_stage_runner_package/asm_optimizer_rules_v2.json,uxm dosyalari,uxm dosyalari/uxm_stage_runner_package,other,8914
uxm dosyalari/uxm_stage_runner_package/expected_outputs_stage12.csv,uxm dosyalari,uxm dosyalari/uxm_stage_runner_package,csv,695
uxm dosyalari/uxm_stage_runner_package/PATCH_01_XLSX_SANITIZE_FOR_UXM_STAGE_RUNNER.py,uxm dosyalari,uxm dosyalari/uxm_stage_runner_package,python_tool,2189
uxm dosyalari/uxm_stage_runner_package/PATCH_02_PAUSE_AT_END_OPTION.md,uxm dosyalari,uxm dosyalari/uxm_stage_runner_package,doc_or_log,2123
uxm dosyalari/uxm_stage_runner_package/PATCH_03_RUNNER_POLICY.md,uxm dosyalari,uxm dosyalari/uxm_stage_runner_package,doc_or_log,1058
uxm dosyalari/uxm_stage_runner_package/README_STAGE12_PIPELINE.txt,uxm dosyalari,uxm dosyalari/uxm_stage_runner_package,doc_or_log,723
uxm dosyalari/uxm_stage_runner_package/run_asm_optimizer_v2.bat,uxm dosyalari,uxm dosyalari/uxm_stage_runner_package,bat_tool,470
uxm dosyalari/uxm_stage_runner_package/run_opt_fixed.bat,uxm dosyalari,uxm dosyalari/uxm_stage_runner_package,bat_tool,828
uxm dosyalari/uxm_stage_runner_package/run_stage12_full_pipeline.bat,uxm dosyalari,uxm dosyalari/uxm_stage_runner_package,bat_tool,323
uxm dosyalari/uxm_stage_runner_package/run_stage12_smoke.bat,uxm dosyalari,uxm dosyalari/uxm_stage_runner_package,bat_tool,1763
uxm dosyalari/uxm_stage_runner_package/run_stage_auto.bat,uxm dosyalari,uxm dosyalari/uxm_stage_runner_package,bat_tool,392
uxm dosyalari/uxm_stage_runner_package/run_stage_auto_full_pipeline.bat,uxm dosyalari,uxm dosyalari/uxm_stage_runner_package,bat_tool,232
uxm dosyalari/uxm_stage_runner_package/run_toparlayici_apply.bat,uxm dosyalari,uxm dosyalari/uxm_stage_runner_package,bat_tool,179
uxm dosyalari/uxm_stage_runner_package/run_toparlayici_dryrun.bat,uxm dosyalari,uxm dosyalari/uxm_stage_runner_package,bat_tool,171
uxm dosyalari/uxm_stage_runner_package/UXM_ASM_OPTIMIZER_V2.py,uxm dosyalari,uxm dosyalari/uxm_stage_runner_package,python_tool,13586
uxm dosyalari/uxm_stage_runner_package/UXM_REPO_TOPARLAYICI.py,uxm dosyalari,uxm dosyalari/uxm_stage_runner_package,python_tool,8336
uxm dosyalari/uxm_stage_runner_package/UXM_STAGE12_DOSYA_INCELEME_VE_PIPELINE_RAPORU.md,uxm dosyalari,uxm dosyalari/uxm_stage_runner_package,doc_or_log,8780
