path,action,dest
run_stage17_tests_retire_build.bat,move_bat_old,C:\Users\mete\Downloads\1\UXMv33\Emekliler\workspace_root_archive\20260510_155712\bat\run_stage17_tests_retire_build.bat
run_stage17_tests_v2.bat,move_bat_old,C:\Users\mete\Downloads\1\UXMv33\Emekliler\workspace_root_archive\20260510_155712\bat\run_stage17_tests_v2.bat
run_stage17_tests_v3.bat,move_bat_old,C:\Users\mete\Downloads\1\UXMv33\Emekliler\workspace_root_archive\20260510_155712\bat\run_stage17_tests_v3.bat
run_stage_auto.bat,keep,
run_stage_y.bat,move_bat_old,C:\Users\mete\Downloads\1\UXMv33\Emekliler\workspace_root_archive\20260510_155712\bat\run_stage_y.bat
run_tests_native.bat,move_bat_old,C:\Users\mete\Downloads\1\UXMv33\Emekliler\workspace_root_archive\20260510_155712\bat\run_tests_native.bat
run_toparlayici_y_apply.bat,move_bat_old,C:\Users\mete\Downloads\1\UXMv33\Emekliler\workspace_root_archive\20260510_155712\bat\run_toparlayici_y_apply.bat
run_toparlayici_y_dryrun.bat,move_bat_old,C:\Users\mete\Downloads\1\UXMv33\Emekliler\workspace_root_archive\20260510_155712\bat\run_toparlayici_y_dryrun.bat
samples,keep,
sample_reports,move_dir_misc,C:\Users\mete\Downloads\1\UXMv33\Emekliler\workspace_root_archive\20260510_155712\sample_reports
sonuc1.txt,move_root_artifact,C:\Users\mete\Downloads\1\UXMv33\Emekliler\workspace_root_archive\20260510_155712\txt\sonuc1.txt
sonuc4.txt,move_root_artifact,C:\Users\mete\Downloads\1\UXMv33\Emekliler\workspace_root_archive\20260510_155712\txt\sonuc4.txt
sonuc5.txt,move_root_artifact,C:\Users\mete\Downloads\1\UXMv33\Emekliler\workspace_root_archive\20260510_155712\txt\sonuc5.txt
sonuc6.txt,move_root_artifact,C:\Users\mete\Downloads\1\UXMv33\Emekliler\workspace_root_archive\20260510_155712\txt\sonuc6.txt
sonuc7.txt,move_root_artifact,C:\Users\mete\Downloads\1\UXMv33\Emekliler\workspace_root_archive\20260510_155712\txt\sonuc7.txt
sonuc8.txt,move_root_artifact,C:\Users\mete\Downloads\1\UXMv33\Emekliler\workspace_root_archive\20260510_155712\txt\sonuc8.txt
stage17_results,move_dir_misc,C:\Users\mete\Downloads\1\UXMv33\Emekliler\workspace_root_archive\20260510_155712\stage17_results
stage_runs,move_dir_misc,C:\Users\mete\Downloads\1\UXMv33\Emekliler\workspace_root_archive\20260510_155712\stage_runs
stage_state.json,keep,
stage_state_stage17_template.json,move_root_artifact,C:\Users\mete\Downloads\1\UXMv33\Emekliler\workspace_root_archive\20260510_155712\json\stage_state_stage17_template.json
stat.py,move_root_artifact,C:\Users\mete\Downloads\1\UXMv33\Emekliler\workspace_root_archive\20260510_155712\py\stat.py
sts.py,move_root_artifact,C:\Users\mete\Downloads\1\UXMv33\Emekliler\workspace_root_archive\20260510_155712\py\sts.py
stsx.py,move_root_artifact,C:\Users\mete\Downloads\1\UXMv33\Emekliler\workspace_root_archive\20260510_155712\py\stsx.py
test_history.csv,move_root_artifact,C:\Users\mete\Downloads\1\UXMv33\Emekliler\workspace_root_archive\20260510_155712\csv\test_history.csv
test_history.csv.bak_20260509_115518,keep,
test_stats_summary.csv,move_root_artifact,C:\Users\mete\Downloads\1\UXMv33\Emekliler\workspace_root_archive\20260510_155712\csv\test_stats_summary.csv
tools,keep,
tools_y,keep,
toparlama_raporlari,move_dir_misc,C:\Users\mete\Downloads\1\UXMv33\Emekliler\workspace_root_archive\20260510_155712\toparlama_raporlari
uxm,keep,
UXMPerformansAnalizatoru.py,move_root_artifact,C:\Users\mete\Downloads\1\UXMv33\Emekliler\workspace_root_archive\20260510_155712\py\UXMPerformansAnalizatoru.py
UXMv33.zip,keep,
uxm_analizor(birlesik).py,move_root_artifact,C:\Users\mete\Downloads\1\UXMv33\Emekliler\workspace_root_archive\20260510_155712\py\uxm_analizor(birlesik).py
uxm_analizor.py,move_root_artifact,C:\Users\mete\Downloads\1\UXMv33\Emekliler\workspace_root_archive\20260510_155712\py\uxm_analizor.py
uxm_analizor2.py,move_root_artifact,C:\Users\mete\Downloads\1\UXMv33\Emekliler\workspace_root_archive\20260510_155712\py\uxm_analizor2.py
UXM_EMEKLI_BUILD_ANALYZER_Y.py,move_root_artifact,C:\Users\mete\Downloads\1\UXMv33\Emekliler\workspace_root_archive\20260510_155712\py\UXM_EMEKLI_BUILD_ANALYZER_Y.py
UXM_EXPECT_RUNNER_V2.py,move_root_artifact,C:\Users\mete\Downloads\1\UXMv33\Emekliler\workspace_root_archive\20260510_155712\py\UXM_EXPECT_RUNNER_V2.py
UXM_Heavy_Asm_Optimizer.py,move_root_artifact,C:\Users\mete\Downloads\1\UXMv33\Emekliler\workspace_root_archive\20260510_155712\py\UXM_Heavy_Asm_Optimizer.py
uxm_optimizer_pro2.py,move_root_artifact,C:\Users\mete\Downloads\1\UXMv33\Emekliler\workspace_root_archive\20260510_155712\py\uxm_optimizer_pro2.py
UXM_Performans_Analiz_Raporu_Final.xlsx,move_root_artifact,C:\Users\mete\Downloads\1\UXMv33\Emekliler\workspace_root_archive\20260510_155712\xlsx\UXM_Performans_Analiz_Raporu_Final.xlsx
UXM_Performans_Raporu_Final.xlsx,move_root_artifact,C:\Users\mete\Downloads\1\UXMv33\Emekliler\workspace_root_archive\20260510_155712\xlsx\UXM_Performans_Raporu_Final.xlsx
uxm_stage5_byte.tmp,keep,
uxm_stage5_line.tmp,keep,
UXM_STAGE_RUNNER.py,move_root_artifact,C:\Users\mete\Downloads\1\UXMv33\Emekliler\workspace_root_archive\20260510_155712\py\UXM_STAGE_RUNNER.py
UXM_STAGE_RUNNER_Y.py,move_root_artifact,C:\Users\mete\Downloads\1\UXMv33\Emekliler\workspace_root_archive\20260510_155712\py\UXM_STAGE_RUNNER_Y.py
UXM_V33_EXISTING_FLOW_MANAGER.py,move_root_artifact,C:\Users\mete\Downloads\1\UXMv33\Emekliler\workspace_root_archive\20260510_155712\py\UXM_V33_EXISTING_FLOW_MANAGER.py
UXM_WORKSPACE_TOPARLAYICI_Y.py,move_root_artifact,C:\Users\mete\Downloads\1\UXMv33\Emekliler\workspace_root_archive\20260510_155712\py\UXM_WORKSPACE_TOPARLAYICI_Y.py
UXM_ZIP_AUDITOR_Y.py,move_root_artifact,C:\Users\mete\Downloads\1\UXMv33\Emekliler\workspace_root_archive\20260510_155712\py\UXM_ZIP_AUDITOR_Y.py
workspace_clean_reports,keep,
x.txt,move_root_artifact,C:\Users\mete\Downloads\1\UXMv33\Emekliler\workspace_root_archive\20260510_155712\txt\x.txt
yeni_optimize_asm,move_dir_misc,C:\Users\mete\Downloads\1\UXMv33\Emekliler\workspace_root_archive\20260510_155712\yeni_optimize_asm
y_sonuclar,move_dir_misc,C:\Users\mete\Downloads\1\UXMv33\Emekliler\workspace_root_archive\20260510_155712\y_sonuclar
zekiassop.py,move_root_artifact,C:\Users\mete\Downloads\1\UXMv33\Emekliler\workspace_root_archive\20260510_155712\py\zekiassop.py
_uxm_active_tool_tmp.py,move_root_artifact,C:\Users\mete\Downloads\1\UXMv33\Emekliler\workspace_root_archive\20260510_155712\py\_uxm_active_tool_tmp.py
